molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL3808427,5800.0,nM,CC(C)(C)c1ccc(N2N=C(c3ccccc3)/C(=C/c3ccc(-c4cc(Cl)ccc4C(=O)O)o3)C2=O)cc1,5.236572006437063
CHEMBL3809329,6000.0,nM,CC(C)c1ccc(N2N=C(c3ccccc3)/C(=C/c3ccc(-c4cc(Cl)ccc4C(=O)O)o3)C2=O)cc1,5.221848749616356
CHEMBL4203883,6300.0,nM,CC(C)C[C@H](NC(=O)OC1(Cc2ccccc2)CCN(C(=O)OC(C)(C)C)CC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-].[Na+],5.200659450546418
CHEMBL3809861,6400.0,nM,O=C(O)c1cccc(N2N=C(c3ccccc3)/C(=C/c3ccc(-c4ccccc4)o3)C2=O)c1,5.1938200260161125
CHEMBL558828,6600.0,nM,CCC(=C\c1sc2cc(C)c(C)cc2[n+]1CC)/C=C1/Sc2cc(/C=C/c3ccccc3)ccc2N1CC.[Cl-],5.180456064458131
CHEMBL3809053,6700.0,nM,O=C(O)c1cccc(N2N=C(c3ccccc3)/C(=C/c3ccc(-c4ccccc4)cc3)C2=O)c1,5.173925197299173
CHEMBL1277227,6800.0,nM,O=C(O)c1ccc(/C=C2\C(=O)N(c3ccc(F)cc3)N=C2c2ccccc2)cc1,5.167491087293763
CHEMBL515787,7300.0,nM,CCN1/C(=C\C(=C/c2sc3ccccc3[n+]2CCCS(=O)(=O)[O-])OC)Sc2ccc(OC)cc21,5.136677139879544
CHEMBL3818593,7500.0,nM,CC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)O)[C@@H](C)O,5.1249387366083
CHEMBL3818000,7500.0,nM,CC(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)O)[C@@H](C)O,5.1249387366083
CHEMBL50,8100.0,nM,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,5.0915149811213505
CHEMBL63354,8300.0,nM,O=c1cc(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc(O)cc(O)c12,5.080921907623926
CHEMBL1277228,8400.0,nM,O=C(O)c1ccc(/C=C2\C(=O)N(c3cccc([N+](=O)[O-])c3)N=C2c2ccccc2)cc1,5.075720713938118
CHEMBL3809579,8600.0,nM,CC(C)(C)c1ccc(N2N=C(c3ccccc3)/C(=C/c3ccc(-c4ccccc4C(=O)O)o3)C2=O)cc1,5.065501548756432
CHEMBL471187,8800.0,nM,Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(O)cc2O3)c1,5.055517327849831
CHEMBL4204431,8800.0,nM,CCOC(=O)N1CCC(OC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(O)S(=O)(=O)[O-])CC1.[Na+],5.055517327849831
CHEMBL3105073,9200.0,nM,S=C(NCc1cccnc1)SCc1cc(Cl)sc1Cl,5.036212172654444
CHEMBL551334,9300.0,nM,O=c1c(O)c(-c2ccc3c(c2)OCO3)oc2cc(OCc3ccc(Cl)cc3)cc(O)c12,5.031517051446064
CHEMBL432519,9900.0,nM,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]3(C)CC[C@@]4(C)CC(=O)[C@H](C)C[C@H]4[C@]3(C)CC[C@@]21C,5.00436480540245
CHEMBL3099523,9910.0,nM,CN1C(=O)C(=O)c2cc(S(=O)(=O)N3CCOCC3)ccc21,5.003926345514724
CHEMBL478987,10000.0,nM,CCN1/C(=C\C=c2/s/c(=C\c3sc4ccccc4[n+]3CC)n(CC)c2=O)Sc2ccccc21,5.0
CHEMBL3818400,10000.0,nM,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)O)[C@@H](C)O,5.0
CHEMBL397154,10000.0,nM,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)C(C)C,5.0
CHEMBL3099539,10070.0,nM,O=C1Nc2ccc(S(=O)(=O)N3CCN(C(=O)c4ccco4)CC3)cc2C1=O,4.996970529446382
CHEMBL301982,10300.0,nM,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]3(C)CC[C@@]4(C)CC[C@@](C)(C(=O)O)C[C@H]4[C@]3(C)CC[C@@]21C,4.987162775294828
CHEMBL518593,10500.0,nM,C(\C1=C2Sc3ccccc3N2CC1)=C1/CC[n+]2c1sc1ccccc12,4.978810700930062
CHEMBL1277135,10800.0,nM,O=C(O)c1ccc(/C=C2\C(=O)N(c3cccc(Cl)c3)N=C2c2ccccc2)cc1,4.966576244513051
CHEMBL522710,11000.0,nM,O=C(O)/C(O)=C/C(=O)c1cccc(NCc2ccc(Cl)cc2)c1,4.958607314841775
CHEMBL3809506,11700.0,nM,CC(C)c1ccc(N2N=C(c3ccccc3)/C(=C/c3ccc(-c4ccccc4C(=O)O)o3)C2=O)cc1,4.931814138253839
CHEMBL3099544,11830.0,nM,CN1CCN(S(=O)(=O)c2ccc3c(c2)C(=O)C(=O)N3C)CC1,4.927015255372069
CHEMBL1276871,12000.0,nM,COc1ccc(N2N=C(c3ccccc3)/C(=C/c3ccc(C(=O)O)cc3)C2=O)cc1,4.920818753952375
CHEMBL484273,12660.0,nM,O=C1Nc2ccc(S(=O)(=O)N3CCOCC3)cc2C1=O,4.897566294318664
